,ID,PRODUCT_CODE,DRAWING_NUMBER,SIZE,RECESS_PARTIAL_THREAD,MOQ,QUANTITY,WEIGHT,M_BOX,KG_BOX,BOX_TYPE,BOX_PRICE,WIRE_DIAMETER,WIRE_PRICE,FORMING_PRICE,FORMING_PIECE_WEIGHT,FORMING_TOTAL,FORMING_GROSS,CUT_SLUTTING_LOSS,CUT_SLUTTING_PRICE_M,CUT_SLUTTING_PRICE_KG,CUT_SLUTTING_GROSS,HEAT_TREATMENT_LOSS,HEAT_TREATMENT_PRICE,HEAT_TREATMENT_GROSS,PLATING_LOSS,PLATING_PRICE_KG,PLATING_GROSS,PACKAGE_LOSS,PACKAGE_PRICE,PACKAGE_GROSS,TRANSACTION_CONDITION,OPERATION_FEE,FIRST_GROSS,ROLLER_SORTING_LOSS,ROLLER_SORTING_PRICE,ROLLER_SORTING_GROSS_KG,ROLLER_SORTING_GROSS_M,OPTICAL_SORTING_LOSS,OPTICAL_SORTING_PRICE,OPTICAL_SORTING_GROSS_M,INTEREST_RATE,INTEREST_GROSS,COLLATED_LOSS,COLLATED_PRICE,COLLATED_GROSS,PROFIT_RATE,PROFIT_GROSS,EXCHANGE_RATE,EXCHANGE_RATE_GROSS,REBATE,TOTAL_PRICE_M,DESCRIPTION,ORDER_ADDRESS,QUOTE_DATE,ORDER_TYPE,AGENT,CUSTOMER_CODE,ORDER_NUMBER,SERIAL_NUMBER,NOTE,CREA_DATE,ORDER_QTY,ORDER_WEIG
0,58836,2QT,D012DW014,6X2-1/4,-,120,144.0,362.88,3.0,7.5600000000000005,BULK,58.0,2.65,24.0,21.0,2.52,8.34,32.34,0.0,0.0,0.0,32.34,0.015,5.3,38.129999999999995,0.01,7.5,46.019999999999996,0.01,7.68,54.169999999999995,1.4,1.4,56.97,0.0,0.0,56.97,143.57,0.0,0.0,143.57,0.005,144.29,0.0,0,152.95,0.06,152.95,30.5,5.02,0.0,5.02,品名： 乾牆螺絲 平頭(小頭) 四角孔 細牙 尖尾 黑磷48H M數裝,Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422128.889816, 熱處理預防性加價0.3,,144.0,362.88
1,58837,615HL,D012DW006,6X1-5/8,-,154,240.0,470.4,5.0,9.8,BULK,58.0,2.6,24.0,17.0,1.96,8.68,32.68,0.0,0.0,0.0,32.68,0.015,5.3,38.48,0.01,6.5,45.37,0.01,5.92,51.75,1.4,1.4,54.55,0.0,0.0,54.55,106.92,0.0,0.0,106.92,0.005,107.46000000000001,0.0,0,113.91,0.06,113.91000000000001,30.5,3.7399999999999998,0.0,3.74,"品名：乾牆螺絲 喇叭頭 頭標""SP""#2十字孔 高低牙 / 黑磷48H / M數裝",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422128.99048, 熱處理預防性加價0.3,,240.0,470.4
2,58838,830HL,D012DW006,8x3,-,66,96.0,441.59999999999997,2.0,9.2,BULK,58.0,3.05,24.0,25.0,4.6,5.4399999999999995,29.44,0.0,0.0,0.0,29.44,0.015,5.3,35.19,0.01,6.5,42.05,0.01,6.31,48.79,1.4,1.4,51.59,0.0,0.0,51.59,237.32,0.0,0.0,237.32,0.005,238.51,0.0,0,252.83,0.06,252.82999999999998,30.5,8.29,0.0,8.29,"品名：乾牆螺絲 喇叭頭 頭標""SP""#2十字孔 高低牙 / 黑磷48H / M數裝",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.091148, 熱處理預防性加價0.3,,1632.0,7507.200000000001
3,58839,614CD,D012DW003,6x1-1/4,-,215,384.0,625.92,8.0,13.04,BULK,58.0,2.65,24.0,14.0,1.63,8.59,32.59,0.0,0.0,0.0,32.59,0.015,5.3,38.379999999999995,0.01,10.3,49.07,0.01,4.45,54.019999999999996,1.4,1.4,56.82,0.0,0.0,56.82,92.62,0.0,0.0,92.62,0.005,93.09,0.0,0,98.68,0.06,98.68,30.5,3.2399999999999998,0.0,3.24,"品名： 乾牆螺絲 十字2號孔 喇叭頭 ""SP""頭標 粗牙 尖尾 / 達可銹鹽測500HR / M數裝",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.191808, 熱處理預防性加價0.3,,384.0,625.92
4,58840,D1040Z,D012TK002,10x4,-,40,144.0,1270.08,1.0,8.82,BULK,58.0,3.7,24.0,101.0,8.82,11.459999999999999,35.46,0.0,0.0,0.0,35.46,0.015,11.8,47.8,0.01,9.5,57.78,0.01,6.58,64.94000000000001,1.4,1.4,67.74,0.0,0.0,67.74,597.47,0.0,0.0,597.47,0.005,600.46,0.0,0,642.5,0.07,642.5,30.5,21.07,0.0,21.07,"品名： 鑽尾螺絲 十字#2 喇叭頭, BSD 3號尾, 滲碳C.H-3, 鍍鋅三價均3U(不得超過5U), 頭記:SP  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.292473, 熱處理預防性加價0.3,,144.0,1270.08
5,58841,D1050Z,D012TK002,10x5,,32,48.0,528.0,0.5,5.5,BULK,58.0,3.7,24.0,131.0,11.0,11.91,35.91,0.0,0.0,0.0,35.91,0.015,25.0,61.449999999999996,0.01,12.1,74.17,0.01,10.549999999999999,85.47,1.4,1.4,88.27,0.0,0.0,88.27,970.97,0.0,0.0,970.97,0.005,975.83,0.0,0,1044.14,0.07,1044.14,30.5,34.239999999999995,0.0,34.24,"品名： 鑽尾螺絲 十字#2 喇叭頭, BSD 3號尾, 滲碳C.H-3, 鍍鋅三價均3U(不得超過5U), 頭記:SP  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.393141, 熱處理預防性加價0.3,,48.0,528.0
6,58842,D611Z,D012TK002,6x1-1/8,-,40,480.0,782.4,10.0,16.299999999999997,BULK,58.0,2.7,24.0,25.0,1.63,15.34,39.34,0.0,0.0,0.0,39.34,0.015,5.6,45.54,0.01,6.7,52.699999999999996,0.01,3.5599999999999996,56.79,1.4,1.4,59.59,0.0,0.0,59.59,97.14,0.0,0.0,97.14,0.005,97.63000000000001,0.0,0,104.47,0.07,104.47,30.5,3.4299999999999997,0.0,3.43,"品名： 鑽尾螺絲 十字#2 喇叭頭, BSD 3號尾, 滲碳C.H-3, 鍍鋅三價均3U(不得超過5U), 頭記:SP  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.493802, 熱處理預防性加價0.3,,,
7,58843,84MZ,D012DW005,8x1/2 ,-,216,1920.0,2668.7999999999997,10.0,13.899999999999999,BULK,58.0,3.15,24.0,16.0,1.39,11.52,35.52,0.0,0.0,0.0,35.52,0.015,5.3,41.36,0.01,6.7,48.48,0.01,4.18,53.15,1.4,1.4,55.95,0.0,0.0,55.95,77.78,0.0,0.0,77.78,0.005,78.17,0.0,0,82.87,0.06,82.87,30.5,2.7199999999999998,0.0,2.72,"品名：乾牆螺絲 凸鈕扣頭(威華頭) ""SP""頭標  十字 細牙 雙牙單出  / 鍍鋅三價+均3  / M數裝    ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.594469, 熱處理預防性加價0.3,,1920.0,2668.8
8,58844,86MZ,D012DW005,8x3/4,-,170,1536.0,2718.7200000000003,8.0,14.16,BULK,58.0,3.15,24.0,16.0,1.77,9.04,33.04,0.0,0.0,0.0,33.04,0.015,5.3,38.839999999999996,0.01,6.7,45.93,0.01,4.1,50.489999999999995,1.4,1.4,53.29,0.0,0.0,53.29,94.33,0.0,0.0,94.33,0.005,94.81,0.0,0,100.5,0.06,100.5,30.5,3.3,0.0,3.3,"品名：乾牆螺絲 凸鈕扣頭(威華頭) ""SP""頭標  十字 細牙 雙牙單出  / 鍍鋅三價+均3  / M數裝    ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.695134, 熱處理預防性加價0.3,,1536.0,2718.72
9,58845,85MB,D012DW005,8x9/16 ,-,164,960.0,1459.2,10.0,15.2,M_Pack,58.0,3.15,24.0,16.0,1.52,10.53,34.53,0.0,0.0,0.0,34.53,0.015,5.3,40.35,0.01,6.5,47.26,0.01,3.82,51.559999999999995,1.4,1.4,54.36,0.0,0.0,54.36,82.63000000000001,0.0,0.0,82.63,0.005,83.05000000000001,0.0,0,88.04,0.06,88.04,30.5,2.8899999999999997,0.0,2.89,"品名：乾牆螺絲 凸鈕扣頭(威華頭) ""SP""頭標  十字 細牙 雙牙單出  / 黑磷48HR 48小時無紅銹  / M數裝    ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.795794, 熱處理預防性加價0.3,,,
10,58846,M82Z,D012TK001,8x1/2,-,198,5280.0,8025.6,10.0,15.2,BULK,58.0,3.2,24.0,23.0,1.52,15.14,39.14,0.0,0.0,0.0,39.14,0.015,5.6,45.33,0.01,6.7,52.489999999999995,0.01,3.82,56.839999999999996,1.4,1.4,59.64,0.0,0.0,59.64,90.66000000000001,0.0,0.0,90.66,0.005,91.12,0.0,0,97.5,0.07,97.5,30.5,3.1999999999999997,0.0,3.2,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.896459, 熱處理預防性加價0.3,,5280.0,8025.6
11,58847,M83Z,D012TK001,8x3/4,-,160,1536.0,2887.68,8.0,15.04,BULK,58.0,3.2,24.0,23.0,1.88,12.24,36.24,0.0,0.0,0.0,36.24,0.015,5.6,42.39,0.01,6.7,49.519999999999996,0.01,3.86,53.879999999999995,1.4,1.4,56.68,0.0,0.0,56.68,106.56,0.0,0.0,106.56,0.005,107.10000000000001,0.0,0,114.6,0.07,114.60000000000001,30.5,3.76,0.0,3.76,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422129.997123, 熱處理預防性加價0.3,,1536.0,2887.68
12,58848,M85Z,D012TK001,8x1-1/4,-,113,480.0,1276.8000000000002,5.0,13.3,BULK,58.0,3.2,24.0,23.0,2.66,8.65,32.65,0.0,0.0,0.0,32.65,0.015,5.6,38.739999999999995,0.01,6.7,45.83,0.01,4.37,50.66,1.4,1.4,53.46,0.0,0.0,53.46,142.20999999999998,0.0,0.0,142.21,0.005,142.92999999999998,0.0,0,152.94,0.07,152.94,30.5,5.02,0.0,5.02,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422130.097788, 熱處理預防性加價0.3,,480.0,1276.8
13,58849,M92Z,D012TK001,8x2-1/2,-,64,192.0,912.0,2.0,9.5,BULK,58.0,3.2,24.0,40.0,4.75,8.43,32.43,0.0,0.0,0.0,32.43,0.015,5.6,38.519999999999996,0.01,6.7,45.61,0.01,6.109999999999999,52.18,1.4,1.4,54.98,0.0,0.0,54.98,261.15999999999997,0.0,0.0,261.16,0.005,262.46999999999997,0.0,0,280.85,0.07,280.84999999999997,30.5,9.209999999999999,0.0,9.21,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422130.198452, 熱處理預防性加價0.3,,192.0,912.0
14,58850,M95Z,D012TK001,8x3,-,55,216.0,1190.1599999999999,1.5,8.265,BULK,58.0,3.2,24.0,55.0,5.51,9.99,33.99,0.0,0.0,0.0,33.99,0.015,5.6,40.1,0.01,6.7,47.21,0.01,7.02,54.71,1.4,1.4,57.51,0.0,0.0,57.51,316.89,0.0,0.0,316.89,0.005,318.48,0.0,0,340.78,0.07,340.78,30.5,11.18,0.0,11.18,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1734422130.299116, 熱處理預防性加價0.3,,216.0,1190.16
15,60028,2QT,D012DW014,6X2-1/4,-,120,144.0,362.88,3.0,7.5600000000000005,BULK,58.0,2.65,24.0,21.0,2.52,8.34,32.34,0.0,0.0,0.0,32.34,0.015,5.3,38.129999999999995,0.01,7.5,46.019999999999996,0.01,7.68,54.169999999999995,1.4,1.4,56.97,0.0,0.0,56.97,143.57,0.0,0.0,143.57,0.005,144.29,0.0,0,152.95,0.06,152.95,30.5,5.02,0.0,5.02,品名： 乾牆螺絲 平頭(小頭) 四角孔 細牙 尖尾 黑磷48H M數裝,Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293359.606139, 熱處理預防性加價0.3,,,
16,60029,615HL,D012DW006,6X1-5/8,-,154,240.0,470.4,5.0,9.8,BULK,58.0,2.6,24.0,17.0,1.96,8.68,32.68,0.0,0.0,0.0,32.68,0.015,5.3,38.48,0.01,6.5,45.37,0.01,5.92,51.75,1.4,1.4,54.55,0.0,0.0,54.55,106.92,0.0,0.0,106.92,0.005,107.46000000000001,0.0,0,113.91,0.06,113.91000000000001,30.5,3.7399999999999998,0.0,3.74,"品名：乾牆螺絲 喇叭頭 頭標""SP""#2十字孔 高低牙 / 黑磷48H / M數裝",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293359.708532, 熱處理預防性加價0.3,,,
17,60030,830HL,D012DW006,8x3,-,66,96.0,441.59999999999997,2.0,9.2,BULK,58.0,3.05,24.0,25.0,4.6,5.4399999999999995,29.44,0.0,0.0,0.0,29.44,0.015,5.3,35.19,0.01,6.5,42.05,0.01,6.31,48.79,1.4,1.4,51.59,0.0,0.0,51.59,237.32,0.0,0.0,237.32,0.005,238.51,0.0,0,252.83,0.06,252.82999999999998,30.5,8.29,0.0,8.29,"品名：乾牆螺絲 喇叭頭 頭標""SP""#2十字孔 高低牙 / 黑磷48H / M數裝",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293359.809396, 熱處理預防性加價0.3,,,
18,60031,614CD,D012DW003,6x1-1/4,-,215,384.0,625.92,8.0,13.04,BULK,58.0,2.65,24.0,14.0,1.63,8.59,32.59,0.0,0.0,0.0,32.59,0.015,5.3,38.379999999999995,0.01,10.3,49.07,0.01,4.45,54.019999999999996,1.4,1.4,56.82,0.0,0.0,56.82,92.62,0.0,0.0,92.62,0.005,93.09,0.0,0,98.68,0.06,98.68,30.5,3.2399999999999998,0.0,3.24,"品名： 乾牆螺絲 十字2號孔 喇叭頭 ""SP""頭標 粗牙 尖尾 / 達可銹鹽測500HR / M數裝",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293359.910343, 熱處理預防性加價0.3,,,
19,60032,D1040Z,D012TK002,10x4,-,40,144.0,1270.08,1.0,8.82,BULK,58.0,3.7,24.0,101.0,8.82,11.459999999999999,35.46,0.0,0.0,0.0,35.46,0.015,11.8,47.8,0.01,9.5,57.78,0.01,6.58,64.94000000000001,1.4,1.4,67.74,0.0,0.0,67.74,597.47,0.0,0.0,597.47,0.005,600.46,0.0,0,642.5,0.07,642.5,30.5,21.07,0.0,21.07,"品名： 鑽尾螺絲 十字#2 喇叭頭, BSD 3號尾, 滲碳C.H-3, 鍍鋅三價均3U(不得超過5U), 頭記:SP  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.011716, 熱處理預防性加價0.3,,,
20,60033,D1050Z,D012TK002,10x5,,32,48.0,528.0,0.5,5.5,BULK,58.0,3.7,24.0,131.0,11.0,11.91,35.91,0.0,0.0,0.0,35.91,0.015,25.0,61.449999999999996,0.01,12.1,74.17,0.01,10.549999999999999,85.47,1.4,1.4,88.27,0.0,0.0,88.27,970.97,0.0,0.0,970.97,0.005,975.83,0.0,0,1044.14,0.07,1044.14,30.5,34.239999999999995,0.0,34.24,"品名： 鑽尾螺絲 十字#2 喇叭頭, BSD 3號尾, 滲碳C.H-3, 鍍鋅三價均3U(不得超過5U), 頭記:SP  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.112688, 熱處理預防性加價0.3,,,
21,60034,D611Z,D012TK002,6x1-1/8,-,40,480.0,782.4,10.0,16.299999999999997,BULK,58.0,2.7,24.0,25.0,1.63,15.34,39.34,0.0,0.0,0.0,39.34,0.015,5.6,45.54,0.01,6.7,52.699999999999996,0.01,3.5599999999999996,56.79,1.4,1.4,59.59,0.0,0.0,59.59,97.14,0.0,0.0,97.14,0.005,97.63000000000001,0.0,0,104.47,0.07,104.47,30.5,3.4299999999999997,0.0,3.43,"品名： 鑽尾螺絲 十字#2 喇叭頭, BSD 3號尾, 滲碳C.H-3, 鍍鋅三價均3U(不得超過5U), 頭記:SP  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.213692, 熱處理預防性加價0.3,,,
22,60035,84MZ,D012DW005,8x1/2 ,-,216,1920.0,2668.7999999999997,10.0,13.899999999999999,BULK,58.0,3.15,24.0,16.0,1.39,11.52,35.52,0.0,0.0,0.0,35.52,0.015,5.3,41.36,0.01,6.7,48.48,0.01,4.18,53.15,1.4,1.4,55.95,0.0,0.0,55.95,77.78,0.0,0.0,77.78,0.005,78.17,0.0,0,82.87,0.06,82.87,30.5,2.7199999999999998,0.0,2.72,"品名：乾牆螺絲 凸鈕扣頭(威華頭) ""SP""頭標  十字 細牙 雙牙單出  / 鍍鋅三價+均3  / M數裝    ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.314737, 熱處理預防性加價0.3,,,
23,60036,86MZ,D012DW005,8x3/4,-,170,1536.0,2718.7200000000003,8.0,14.16,BULK,58.0,3.15,24.0,16.0,1.77,9.04,33.04,0.0,0.0,0.0,33.04,0.015,5.3,38.839999999999996,0.01,6.7,45.93,0.01,4.1,50.489999999999995,1.4,1.4,53.29,0.0,0.0,53.29,94.33,0.0,0.0,94.33,0.005,94.81,0.0,0,100.5,0.06,100.5,30.5,3.3,0.0,3.3,"品名：乾牆螺絲 凸鈕扣頭(威華頭) ""SP""頭標  十字 細牙 雙牙單出  / 鍍鋅三價+均3  / M數裝    ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.415815, 熱處理預防性加價0.3,,,
24,60037,85MB,D012DW005,8x9/16 ,-,164,960.0,1459.2,10.0,15.2,M_Pack,58.0,3.15,24.0,16.0,1.52,10.53,34.53,0.0,0.0,0.0,34.53,0.015,5.3,40.35,0.01,6.5,47.26,0.01,3.82,51.559999999999995,1.4,1.4,54.36,0.0,0.0,54.36,82.63000000000001,0.0,0.0,82.63,0.005,83.05000000000001,0.0,0,88.04,0.06,88.04,30.5,2.8899999999999997,0.0,2.89,"品名：乾牆螺絲 凸鈕扣頭(威華頭) ""SP""頭標  十字 細牙 雙牙單出  / 黑磷48HR 48小時無紅銹  / M數裝    ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.516487, 熱處理預防性加價0.3,,,
25,60038,M82Z,D012TK001,8x1/2,-,198,5280.0,8025.6,10.0,15.2,BULK,58.0,3.2,24.0,23.0,1.52,15.14,39.14,0.0,0.0,0.0,39.14,0.015,5.6,45.33,0.01,6.7,52.489999999999995,0.01,3.82,56.839999999999996,1.4,1.4,59.64,0.0,0.0,59.64,90.66000000000001,0.0,0.0,90.66,0.005,91.12,0.0,0,97.5,0.07,97.5,30.5,3.1999999999999997,0.0,3.2,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.616942, 熱處理預防性加價0.3,,,
26,60039,M83Z,D012TK001,8x3/4,-,160,1536.0,2887.68,8.0,15.04,BULK,58.0,3.2,24.0,23.0,1.88,12.24,36.24,0.0,0.0,0.0,36.24,0.015,5.6,42.39,0.01,6.7,49.519999999999996,0.01,3.86,53.879999999999995,1.4,1.4,56.68,0.0,0.0,56.68,106.56,0.0,0.0,106.56,0.005,107.10000000000001,0.0,0,114.6,0.07,114.60000000000001,30.5,3.76,0.0,3.76,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.717534, 熱處理預防性加價0.3,,,
27,60040,M85Z,D012TK001,8x1-1/4,-,113,480.0,1276.8000000000002,5.0,13.3,BULK,58.0,3.2,24.0,23.0,2.66,8.65,32.65,0.0,0.0,0.0,32.65,0.015,5.6,38.739999999999995,0.01,6.7,45.83,0.01,4.37,50.66,1.4,1.4,53.46,0.0,0.0,53.46,142.20999999999998,0.0,0.0,142.21,0.005,142.92999999999998,0.0,0,152.94,0.07,152.94,30.5,5.02,0.0,5.02,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.818086, 熱處理預防性加價0.3,,,
28,60041,M92Z,D012TK001,8x2-1/2,-,64,192.0,912.0,2.0,9.5,BULK,58.0,3.2,24.0,40.0,4.75,8.43,32.43,0.0,0.0,0.0,32.43,0.015,5.6,38.519999999999996,0.01,6.7,45.61,0.01,6.109999999999999,52.18,1.4,1.4,54.98,0.0,0.0,54.98,261.15999999999997,0.0,0.0,261.16,0.005,262.46999999999997,0.0,0,280.85,0.07,280.84999999999997,30.5,9.209999999999999,0.0,9.21,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293360.919053, 熱處理預防性加價0.3,,,
29,60042,M95Z,D012TK001,8x3,-,55,216.0,1190.1599999999999,1.5,8.265,BULK,58.0,3.2,24.0,55.0,5.51,9.99,33.99,0.0,0.0,0.0,33.99,0.015,5.6,40.1,0.01,6.7,47.21,0.01,7.02,54.71,1.4,1.4,57.51,0.0,0.0,57.51,316.89,0.0,0.0,316.89,0.005,318.48,0.0,0,340.78,0.07,340.78,30.5,11.18,0.0,11.18,"品名： 鑽尾螺絲 十字#2 凸鈕扣頭, BSD 2號尾, 滲碳C.H-2, 鍍鋅三價(不得超過5U), 頭記:SP, D012TK001  / M數裝 ",Z:/業務部/業務一課/G-報價/1. 外銷/D01200 - Intercorp Strong Point\2024\20241205 DW SDS\成本表-D01200-Wesley-20241206-(E)HN241206.xlsx,20241206,E,Wesley,D01200,HN241206,1735293361.019303, 熱處理預防性加價0.3,,,
